chunk_id,section_idx,section_header,insurance_topic,start_line,end_line,page,preview,chunk_text
11,196,3. 위험이 뚜렷이 변경되거나 변경되었음을 알았을 때,"청구, 해지, 계약, 피보험자",472,476,,3. 위험이 뚜렷이 변경되거나 변경되었음을 알았을 때 ② 회사는 제1항에 따라 위험이 감소된 경우에는 그 차,"3. 위험이 뚜렷이 변경되거나 변경되었음을 알았을 때
② 회사는 제1항에 따라 위험이 감소된 경우에는 그 차액보험료를 돌려드리며, 위험이 증가된 경우에는 통지를 받은
날부터 1개월 이내에 보험료의 증액을 청구하거나 계약을 해지할 수 있습니다.
③ 계약자 또는 피보험자는 주소 또는 연락처가 변경된 경우에는 지체 없이 이를 회사에 알려야 합니다. 다만, 계약자
또는 피보험자가 알리지 않은 경우 회사가 알고 있는 최종의 주소 또는 연락처로 등기우편 등 우편물에 대한 기록이
남는 방법으로 회사가 알린 사항은 일반적으로 도달에 필요한 기간이 지난 때에는 계약자 또는 피보험자에게 도달
한 것으로 봅니다."
12,199,제16조(보험계약의 성립),"청약, 계약",486,491,,제16조(보험계약의 성립) ① 계약은 계약자의 청약과 회사의 승낙으로 이루어집니다. ② 회사는 계약의 청약을,"제16조(보험계약의 성립)
① 계약은 계약자의 청약과 회사의 승낙으로 이루어집니다.
② 회사는 계약의 청약을 받고 보험료 전액 또는 제1회 보험료(이하 ‘제1회 보험료 등’이라 합니다)를 받은 경우에는
청약일부터 30일 이내에 승낙 또는 거절의 통지를 하며 통지가 없으면 승낙한 것으로 봅니다.
③ 회사가 청약을 승낙한 때에는 지체 없이 보험증권을 계약자에게 교부하여 드리며, 청약을 거절한 경우에는 거절통
지와 함께 받은 금액을 계약자에게 돌려드립니다.
④ 이미 성립한 계약을 연장하거나 변경하는 경우에는 회사는 보험증권에 그 사실을 기재함으로써 보험증권의 교부에
대신할 수 있습니다."
13,200,제17조(청약의 철회),"철회, 청약, 계약, 정의",494,543,18,제17조(청약의 철회) ① 계약자는 보험증권을 받은 날부터 15일 이내에 그 청약을 철회할 수 있습니다. 다,"제17조(청약의 철회)
① 계약자는 보험증권을 받은 날부터 15일 이내에 그 청약을 철회할 수 있습니다. 다만, 의무보험의 경우에는 철회의사
를 표시한 시점에 동종의 다른 의무보험에 가입된 경우에만 철회할 수 있으며, 보험기간이 90일 이내인 계약 또는
전문금융소비자가 체결한 계약은 청약을 철회할 수 없습니다.
【전문금융소비자】
보험계약에 관한 전문성, 자산규모 등에 비추어 보험계약에 따른 위험감수능력이 있는 자로서, 국가,
지방자치단체, 한국은행, 금융회사, 주권상장법인 등을 포함하며 ｢금융소비자 보호에 관한 법률｣ 제2
조(정의) 제9호에서 정하는 전문금융소비자를 말합니다.
【일반금융소비자】
전문금융소비자가 아닌 계약자를 말합니다.
② 제1항에도 불구하고 청약한 날부터 30일이 초과된 계약은 청약을 철회할 수 없습니다. (단, 65세 이상의 통신수단
중 전화를 이용하여 체결한 경우 45일)이 초과된 계약은 청약을 철회할 수 없습니다.
【청약철회 가능기간】
[사례1]
청약철회 가능기간
(보험증권을 받은 날부터 15일 이내까지)
2021년 4월 1일
청약일
2021년 4월 5일
보험증권을 받은 날
2021년 4월 20일
보험증권을 받은 날 + 15일
2021년 5월 1일
청약일 + 30일
[사례2]
청약철회 가능기간
(청약 후 30일이 되는 날까지)
2021년 4월 1일
청약일
2021년 4월 19일
보험증권을 받은 날
2021년 5월 1일
청약일 + 30일
2021년 5월 4일
보험증권을 받은 날 + 15일
일반적으로 계약자는 [사례1]의 경우처럼 보험증권을 받은 날부터 15일 이내에 청약을 철회할 수 있습
니다. 그러나, [사례2]의 경우처럼 보험증권을 받은 날부터 15일(2021년 5월 4일)이 청약한 날부터
30일(2021년 5월 1일)을 초과하는 경우 청약철회 가능기간은 2021년 5월 1일까지로 합니다.
③ 청약철회는 계약자가 전화로 신청하거나, 철회의사를 표시하기 위한 서면, 전자우편, 휴대전화 문자메시지 또는 이
에 준하는 전자적 의사표시(이하 "
14,200,제17조(청약의 철회),"보험금, 청구, 지급, 철회, 청약, 계약",494,543,18,럼 보험증권을 받은 날부터 15일(2021년 5월 4일)이 청약한 날부터 30일(2021년 5월 1일)을 초,"럼 보험증권을 받은 날부터 15일(2021년 5월 4일)이 청약한 날부터
30일(2021년 5월 1일)을 초과하는 경우 청약철회 가능기간은 2021년 5월 1일까지로 합니다.
③ 청약철회는 계약자가 전화로 신청하거나, 철회의사를 표시하기 위한 서면, 전자우편, 휴대전화 문자메시지 또는 이
에 준하는 전자적 의사표시(이하 ‘서면 등’이라 합니다)를 발송한 때 효력이 발생합니다. 계약자는 서면 등을 발송한
때에 그 발송 사실을 회사에 지체없이 알려야 합니다.
④ 계약자가 청약을 철회한 때에는 회사는 청약의 철회를 접수한 날부터 3영업일 이내에 납입한 보험료를 계약자에게
돌려 드리며, 보험료 반환이 늦어진 기간에 대하여는 보험개발원이 공시하는 보험계약대출이율을 연단위 복리로
계산한 금액을 더하여 지급합니다. 다만, 계약자가 제1회 보험료 등을 신용카드로 납입한 계약의 청약을 철회하는
경우에 회사는 청약의 철회를 접수한 날부터 3영업일 이내에 해당 신용카드회사로 하여금 대금청구를 하지 않도록
해야 하며, 이 경우 회사는 보험료를 반환한 것으로 봅니다.
⑤ 청약을 철회할 때에 이미 보험금 지급사유가 발생하였으나 계약자가 그 보험금 지급사유가 발생한 사실을 알지 못

[Page 18]
18 | 하나 펫사랑보험 약관
한 경우에는 청약철회의 효력은 발생하지 않습니다.
⑥ 제1항에서 보험증권을 받은 날에 대한 다툼이 발생한 경우 회사가 이를 증명하여야 합니다."
15,206,"2. 전화를 이용하여 청약내용, 보험료납입, 보험기간, 계약전 알릴의무, 약관의 ","지급, 청약, 계약",558,567,,"2. 전화를 이용하여 청약내용, 보험료납입, 보험기간, 계약전 알릴의무, 약관의 중요한 내용 등 계약을 체결","2. 전화를 이용하여 청약내용, 보험료납입, 보험기간, 계약전 알릴의무, 약관의 중요한 내용 등 계약을 체결하는 데
필요한 사항을 질문 또는 설명하는 방법. 이 경우 계약자의 답변과 확인내용을 음성 녹음함으로써 약관의 중요한
내용을 설명한 것으로 봅니다.
【통신판매계약】
전화․우편․인터넷 등 통신수단을 이용하여 체결하는 계약을 말합니다.
③ 회사가 제1항에 따라 제공될 약관 및 계약자 보관용 청약서를 청약할 때 계약자에게 전달하지 않거나 약관의 중요
한 내용을 설명하지 않은 때 또는 계약을 체결할 때 계약자가 청약서에 자필서명을 하지 않은 때에는 계약자는 계약
이 성립한 날부터 3개월 이내에 계약을 취소할 수 있습니다.
【자필서명】
날인(도장을 찍음) 및 전자서명법 제2조 제2호에 따른 전자서명을 포함합니다.
④ 제3항에 따라 계약이 취소된 경우에는 회사는 이미 납입한 보험료를 계약자에게 돌려 드리며, 보험료를 받은 기간
에 대하여 보험개발원이 공시하는 보험계약대출이율을 연단위 복리로 계산한 금액을 더하여 지급합니다."
16,213,"5. 보상한도액, 보험료 등 기타 계약의 내용","지급, 해지, 환급, 계약",582,589,19,"5. 보상한도액, 보험료 등 기타 계약의 내용 ② 회사는 계약자가 제1회 보험료 등을 납입한 때부터 1년 이","5. 보상한도액, 보험료 등 기타 계약의 내용
② 회사는 계약자가 제1회 보험료 등을 납입한 때부터 1년 이상 지난 유효한 계약으로서 그 보험종목의 변경을 요청할
때에는 회사의 사업방법서에서 정하는 방법에 따라 이를 변경하여 드립니다.
③ 회사는 계약자가 제1항 제5호의 규정에 의하여 보상한도액을 감액하고자 할 때에는 그 감액된 부분은 계약이 해지

[Page 19]
하나 펫사랑보험 약관 | 19
된 것으로 보며, 제31조(보험료의 환급)에 따라 보험료를 계약자에게 지급합니다.
④ 회사는 제1항에 따라 계약자를 변경한 경우, 변경된 계약자에게 보험증권 및 약관을 교부하고 변경된 계약자가 요
청하는 경우 약관의 중요한 내용을 설명하여 드립니다."
17,215,제22조(타인을 위한 계약),"보험금, 청구, 지급, 계약, 손해, 배상",596,602,20,제22조(타인을 위한 계약) ① 계약자는 타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 ,"제22조(타인을 위한 계약)
① 계약자는 타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 반드시 이를 회사에 알려야 하며, 이
를 알리지 않았을 때에는 그 타인은 이 계약이 체결된 사실을 알지 못하였다는 사유로 회사에 이의를 제기할 수 없
습니다.
② 타인을 위한 계약에서 보험사고가 발생한 경우에 계약자가 그 타인에게 보험사고의 발생으로 생긴 손해를 배상한
때에는 계약자는 그 타인의 권리를 해하지 않는 범위 안에서 회사에 보험금의 지급을 청구할 수 있습니다.

[Page 20]
20 | 하나 펫사랑보험 약관"
18,219,"2. 제6조(보상하지 않는 손해), 제15조(사기에 의한 계약), 제19조(계약의","해지, 계약, 갱신, 손해",613,616,,"2. 제6조(보상하지 않는 손해), 제15조(사기에 의한 계약), 제19조(계약의 무효) 또는 제28조(계약","2. 제6조(보상하지 않는 손해), 제15조(사기에 의한 계약), 제19조(계약의 무효) 또는 제28조(계약의 해지)의 규정을
준용하여 회사가 보장을 하지 않을 수 있는 경우
④ 계약자가 제1회 보험료 등을 자동이체 또는 신용카드로 납입하는 경우에는 자동이체신청 및 신용카드매출승인에
필요한 정보를 회사에 제공한 때가 제1회 보험료 등을 납입한 때가 되나, 계약자의 책임 있는 사유로 자동이체 또는
매출승인이 불가능한 경우에는 제1회 보험료 등이 납입되지 않은 것으로 봅니다.
⑤ 계약이 갱신되는 경우에는 제1항 내지 제3항에 의한 보장은 기존 계약에 의한 보장이 종료하는 때부터 적용합니다."
19,221,제25조(보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지),"보험금, 지급, 해지, 계약",625,627,,제25조(보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지) ① 계약자가 제2회 이후의 보험료를 ,"제25조(보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지)
① 계약자가 제2회 이후의 보험료를 납입기일까지 납입하지 않아 보험료 납입이 연체 중인 경우에 회사는 14일(보험
기간이 1년 미만인 경우에는 7일) 이상의 기간을 납입최고(독촉)기간으로 정하여 계약자(타인을 위한 계약의 경우
그 특정된 타인을 포함합니다)에게 다음의 내용을 서면(등기우편 등), 전화(음성녹음) 또는 전자문서 등으로 알려
드립니다. 다만, 계약이 해지되기 전에 발생한 보험금 지급사유에 대하여 회사는 계약상의 보장을 합니다."
20,223,2. 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 그 끝나는 ,"해지, 계약, 정의",631,638,,2. 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 그 끝나는 날의 다음날에 계약이 해지된,"2. 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 그 끝나는 날의 다음날에 계약이 해지된다는 내
용
② 제1항의 납입최고(독촉)기간은 납입최고(독촉)의 통지가 계약자(타인을 위한 계약의 경우에는 그 특정된 타인을
포함)에게 도달한 날부터 시작되며, 납입최고(독촉)기간의 마지막 날이 영업일이 아닌 때에는 최고(독촉)기간은 그
다음 날까지로 합니다.
③ 회사가 제1항에 따른 납입최고(독촉) 등을 전자문서로 안내하고자 할 경우에는 계약자에게 서면, 전자서명법 제2
조제2호에 따른 전자서명으로 동의를 얻어 수신확인을 조건으로 전자문서를 송신하여야 하며, 계약자가 전자문서
에 대하여 수신을 확인하기 전까지 는 그 전자문서는 송신되지 않은 것으로 봅니다. 회사는 전자문서가 수신되지
않은 것을 확인한 경우에 는 제1항에서 정한 내용을 서면(등기우편 등) 또는 전화(음성녹음)로 다시 알려 드립니다.
【전자서명법 제2조(정의)】"
21,225,제26조(보험료의 납입연체로 인한 해지계약의 부활[효력회복]),"해지, 환급, 청약, 계약, 알릴 의무",644,652,21,제26조(보험료의 납입연체로 인한 해지계약의 부활[효력회복]) ① 제25조(보험료의 납입이 연체되는 경우 납,"제26조(보험료의 납입연체로 인한 해지계약의 부활[효력회복])
① 제25조(보험료의 납입이 연체되는 경우 납입최고[독촉]와 계약의 해지)에 따라 계약이 해지되었으나 계약자가 제

[Page 21]
하나 펫사랑보험 약관 | 21
31조(보험료의 환급)에 따라 보험료를 돌려받지 않은 경우 계약자는 해지된 날부터 3년 이내에 회사가 정한 절차에
따라 계약의 부활(효력회복)을 청약할 수 있습니다. 이 경우 회사가 그 청약을 승낙한 때에는 계약자는 부활(효력회
복)을 청약한 날까지의 연체된 보험료에 보험개발원이 공시하는 월평균 정기예금이율 + 1% 범위내에서 각 상품별
로 회사가 정하는 이율로 계산한 금액을 더하여 납입하여야 합니다.
② 제1항에 따라 해지계약을 부활(효력회복)하는 경우에는 제13조(계약 전 알릴 의무), 제15조(사기에 의한 계약), 제
16조(보험계약의 성립), 제23조(제1회 보험료 등 및 회사의 보장개시) 및 제28조(계약의 해지)의 규정을 준용합니"
22,227,제27조(강제집행 등으로 인한 해지계약의 특별부활[효력회복]),"청구, 지급, 해지, 환급, 청약, 계약, 피보험자",656,668,22,제27조(강제집행 등으로 인한 해지계약의 특별부활[효력회복]) ① 타인을 위한 계약의 경우 제31조(보험료의,"제27조(강제집행 등으로 인한 해지계약의 특별부활[효력회복])
① 타인을 위한 계약의 경우 제31조(보험료의 환급)에 따른 계약자의 환급금 청구권에 대한 강제집행, 담보권실행, 국
세 및 지방세 체납처분절차에 의해 계약이 해지된 경우에는, 회사는 해지 당시의 피보험자가 계약자의 동의를 얻어
계약 해지로 회사가 채권자에게 지급한 금액을 회사에게 지급하고 제20조(계약내용의 변경 등) 제1항의 절차에 따
라 계약자 명의를 피보험자로 변경하여 계약의 특별부활(효력회복)을 청약할 수 있음을 피보험자에게 통지하여야
합니다.
② 회사는 제1항에 의한 계약자 명의변경 신청 및 계약의 특별부활(효력회복) 청약을 승낙하며, 계약은 청약한 때부터
특별부활(효력회복) 됩니다.
③ 회사는 제1항의 통지를 계약이 해지된 날부터 7일 이내에 하여야 합니다. 다만, 회사의 통지가 7일을 지나서 도달하
고 이후 피보험자가 제1항에 의한 계약자 명의변경 신청 및 계약의 특별부활(효력회복)을 청약한 경우에는 계약이
해지된 날부터 7일이 되는 날에 특별부활(효력회복) 됩니다.
④ 피보험자는 통지를 받은 날부터 15일 이내에 제1항의 절차를 이행할 수 있습니다.

[Page 22]
22 | 하나 펫사랑보험 약관"
23,229,제28조(계약의 해지),"해지, 계약, 피보험자, 손해",672,675,,"제28조(계약의 해지) ① 계약자는 손해가 발생하기 전에는 언제든지 계약을 해지할 수 있습니다. 다만, 타인","제28조(계약의 해지)
① 계약자는 손해가 발생하기 전에는 언제든지 계약을 해지할 수 있습니다. 다만, 타인을 위한 계약의 경우에는 계약자
는 그 타인의 동의를 얻거나 보험증권을 소지한 경우에 한하여 계약을 해지할 수 있습니다.
② 회사는 계약자 또는 피보험자의 고의로 손해가 발생한 경우 이 계약을 해지할 수 있습니다.
③ 회사는 아래와 같은 사실이 있을 경우에는 손해의 발생여부에 관계없이 그 사실을 안 날부터 1개월 이내에 이 계약
을 해지할 수 있습니다."
